Id,College_Name,Address,EmailID,District,Website,Principal_Name,Office_Number,Personal_Number,Registar_Name,Status,Autonomy_Status,Minority_Status,Establishment,Course,Research
3151,Vishweshwar Education Society's Indira Institute of Business Management- Navi Mumbai,Plot No. -2- Sector 9-  Sanpada- Navi Mumbai. Raigad - 400705,info@indiraiibm.edu.in,Raigad,www.indiraiibm.edu.in,Dr. Swati Padoshi,27753228,27752428,-,Un-Aided,Non-Autonomous,Non-Minority,2008,Management,No
3153,Humera Khan Institute Of Mangement Studies & Reserch- Mumbai,Mhada Complex- Pratiksha Nagar-  Oshiwara- Jogeshwari (W)- Mumbai  400102,admin.mba@hkimsr.edu.in,Mumbai Suburban,www.hkimsr.edu.in,Prof. Tamojit G. Roy,26774588,,Mr. Ayub Chougule,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi,2008,Other,No
3154,Saraswati Education Society's Saraswati College of Engineering-Kharghar Navi Mumbai,Plot No 46/46 A- Sector 5 Near MSEB Sub Station Kharghar Navi Mumbai  Dist. Raigad,registrarsaraswati@gmail.com,Raigad,www.sce.edu.in,DR.Manjusah Deshmukh,27743705,27743706,Mr.Amar Shinde,Un-Aided,Non-Autonomous,Non-Minority,2004,Engineering,No
3155,SYCSPM'S Sinhgad Institute of Business Management- Chandivali- Powai- Mumbai,Plot No. 126- MHADA Colony- Chandivali- Powai- Mumbai.  400072,info@sycspm.org,Mumbai Suburban,www.sycspm.org,Dr. S. Mohanty,28582888,28472090,P. L. Jangam,Un-Aided,Non-Autonomous,Non-Minority,2008,Management,No
3157,Shree Ghatkopar Sarvajanik Jivdaya Khatur's Aruna Manharlal Shah Institute of Management & Research- Ghatkopar,R. B. Kadam Marg(Jivdaya Lane)- Near MTNL Exchange- Agra Road- Ghatkopar (w) Mumbai  400086,info@amsimr.org,Mumbai Suburban,www.amsimr.org,Mr. Purav Shah,25126805,25126805,Mr. Pankaj Mehta,Un-Aided,Non-Autonomous,Non-Minority,2009,Management,Yes
3158,Saket Gyanpeeth's- Saket College of management- Kalyan,S.No.27- H.No.10- Katemanivlli- Kalyan (East)-Dist:Thane  421304,saketcollegeofmanagement@gmail.com,Thane,www.saketcollegeofmanagement.com,Dr.Sanoj Kumar,2250469,2250469,Mr.Vinayak N Mane,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi,2009,Management,No
3159,JNIESTR's-Rajeev Gandhi College of Management Studies- Navi Mumbai,Plot No. 1-Sector-8- Ghansoli- Navi Mumbai.,rgcms@rediffmail.com,Thane,www.rgcms.edu.in,Dr. Anil Matkar,7303760809,,Dinesh T. Gabhane,Un-Aided,Non-Autonomous,Non-Minority,2009,Management,No
3160,Mahatma Edu.Soc.'s Pillai's HOC Institute of Management Studies & Research- Khalapur Dist. Raigadh,Pillai's HOCL Educational Campus-Rasayani-Khalapur- Via Panvel- Dist Raigad.  410207,vpillai@mes.ac.in,Raigad,www.phimsr.ac.in,Dr. Shasidharan Pillai,250066,250066,Ashrin Khan,Un-Aided,Non-Autonomous,Linguistic Minority - Malyalam,2009,Management,Yes
3161,Viva Institute of Management and Research (Viva School of Management and Research),Viva Institute of Management and Research (Viva School of Management and Research),contact@vivaimr.org,Palghar,www.vivaimr.org,Dr. Hireshkumar Shankarlal Luhar,6990999,9321754320,Mr. Mahendra D. Kajare,Un-Aided,Non-Autonomous,Non-Minority,2012,Management,Yes
3162,Bharti Vidyapeeth's Institute of Management & Information Technology- Navi Mumbai,Sector 8. CBD- Belapur- Navi Mumbai  400614,admission@bvimit.co.in,Thane,www.bvimit.co.in,Bharati Vidyapeeth's Institute of Management  Informati,27578415,27578415,Amol Ghatage,Un-Aided,Non-Autonomous,Non-Minority,2002,Engineering,No
3163,Shri Angarsiddha Shikshan Prasarak Mandal's Diploma In Pharmacy Institute-Sangulwadi-Tal-Vaibhavwadi,Np 1290- At Post Sangulwadi- Vaibhavwadi- Sindhudurg 416810,0852principal@msbte.com,Sindhudurg,www.saspmsdpharm.in,Mr. Patil Jivan Rajaram,237370,237370,Mr.Ganesh Patil,Un-Aided,Non-Autonomous,Non-Minority,2007,Pharmacy,No
3165,Viva School Of MCA- Virar (E),Viva School Of MCA- Virar (E),principal@vivamca.org,Palghar,www.vivamca.org,Dr. Minesh Ade,7770002544,7887447776,Mr. Mahendra Kajare,Un-Aided,Non-Autonomous,Non-Minority,2012,Other,No
3167,Mumbai Education Trust's Institute of Computer Science- Bandra (W)- Mumbai,Gen. Arunkumar Vaidya Chowk- 2nd Floor- MET complex- Bandra Reclamation- Bandra(W)- Mumba 400050,principal_ics@met.edu,Mumbai Suburban,www.met.edu,Dr.Abhijit Banubakode,39554267,39554267,Mr. Shrikant S. Apte,Un-Aided,Non-Autonomous,Non-Minority,2001,Other,No
3168,Thakur Institute of Management Studies Career Development Research- Kandivali (E)- Mumbai,Shyamanarayan Thakur Marg- Thakur Village- Kandivali (E)- Mumbai - 400101,timscdr@thakureducation.org,Mumbai Suburban,www.timscdrmumbai.in,Dr. Vinita Gaikwad,67308301,67308318,Mr. Shailesh Sharma,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi,2001,Management,Yes
3169,Late Bhausaheb Hiray S. S. Trust's Institute of Computer Application- Bandra (E)- Mumbai,S.No 341- Next to New English School-Opp. Kherwadi police station Govt. Colony- Bandra(E)- Mumbai  400051,hirayplacement@yahoo.co.in,Mumbai Suburban,hiray.org,Ms. Sonali Mote ,26570986,26570892,ANIL PARAB,Un-Aided,Non-Autonomous,Non-Minority,2001,Other,No
3173,Deccan Education Society's Navinchandra Mehta Institute of Technology & Development- Dadar- Mumbai,DES's Mumbai Campus- Kirti College Road- Dadar (W)- Mumbai.  400028,director@nmitd.edu.in,Mumbai City,www.nmitd.edu.in,Dr. Samadhan Khamkar,62764583,62764583,PRASAD KULAKRNI,Un-Aided,Non-Autonomous,Non-Minority,2008,Engineering,No
3174,Ramrao Adik Edu Soc- Ramarao Adik Institute of Tech.- Navi Mumbai,Dr. D.Y. Patil Vidyanagar- Sector-7- Phase-I- Nerul- Navi Mumbai,ramraoadik@gmail.com,Thane,www.rait.ac.in,Dr. Ramesh Vasappanavara,27709574,,Dr. Tanmay Sinnarkar,Un-Aided,Non-Autonomous,Non-Minority,1983,Other,No
3175,M.G.M.'s College of Engineering and Technology- Kamothe- Navi Mumbai,At Junction of NH4 & Sion-Panvel Expressway-  Kamothe- Navi Mumbai,principal.cet@mgmmumbai.ac.in,Raigad,www.mgmmumbai.ac.in,Dr. Santosh K. Narayankhedkar,27433421,65138119,Dr. Sunita Shinde,Un-Aided,Non-Autonomous,Non-Minority,1986,Engineering,No
3176,Thakur College of Engineering and Technology- Kandivali- Mumbai,Thakur Shyamnarayan Marg-Thakur Village-Kandivali(E)- Mumbai,tcet@thakureducation.org,Mumbai Suburban,www.tcetmumbai.in,Dr.B.K.Mishra,67308000,67308000,Pankaj Singh,Un-Aided,Autonomous,Linguistic Minority - Hindi,2001,Engineering,No
3181,K.J.Somaiya College of Engineering- Vidyavihar- Mumbai,Vidya_Nagar- Vidya Vihar- Mumbai,principal.engg@somaiya.edu,Mumbai Suburban,www.somaiya.edu/kjsce,DR. SHUBHA PANDIT,66449191,,SANJAY KAKADE,Un-Aided,Autonomous,Linguistic Minority - Gujarathi,1983,Engineering,No
3182,Thadomal Shahani Engineering College- Bandra- Mumbai,37th Road- Off Linking Road- (Near National)- Bandra (West)- Mumbai,gtthampi@yahoo.com,Mumbai Suburban,www.tsec.edu,Prof. (Dr.) G.T.Thampi,26041631,26047087,Manohar Chandwani,Un-Aided,Non-Autonomous,Linguistic Minority - Sindhi,1983,Engineering,No
3183,Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering- Byculla- Mumbai,8- M.H.Saboo Siddik Polytechnic Road- P.O.Box: 4627- Byculla -Mumbai,aimhssce@gmail.com,Mumbai City,www.mhssce.ac.in,Dr. Mohiuddin Ahmed,23012922,,Mr. Syed Wajihuddin,Un-Aided,Non-Autonomous,Religious Minority - Muslim,1984,Engineering,No
3184,Fr. Conceicao Rodrigues College of Engineering- Bandra-Mumbai,Father Agnel Ashram - Band-stand- Bandra (West)- Mumbai,crce@fragnel.edu.in,Mumbai Suburban,www.fragnel.edu.in,Dr. Srija Unnikrishnan,67114000,67114101,Chandrashekhar Shetty,Un-Aided,Non-Autonomous,Religious Minority - Christian,1984,Engineering,No
3185,Vivekanand Education Society's Institute of Technology- Chembur- Mumbai,Hashu Advani Memorial Complex- Behind Collector Colony- R.C. Marg- Chembur- Mumbai,vesit@vsnl.com,Mumbai Suburban,www.ves.ac.in/vesit,Dr. (Mrs.) J. M. Nair ,61532532,61532511,Mrs. Asma Parveen I.Siddavatam,Un-Aided,Non-Autonomous,Linguistic Minority - Sindhi,1984,Engineering,No
3186,Indrayani Shikshan Prasarak Mandal Shri Pushpasen Sawant College of Diploma Pharmacy-Kudal,At Post Digas- Tal. Kudal Dist. Sindhudurg Sindhudurg - 400088,indrayanipharmacy@gmail.com,Sindhudurg,www.spspharmacycollege.com,Mr.Amit Ashok Shahapurkar,229022,229022,MRS. NEHA MAHENDRA PARAB,Un-Aided,Non-Autonomous,Non-Minority,2006,Pharmacy,No
3187,N.Y.S.S.'s Datta Meghe College of Engineering- Airoli- Navi Mumbai,P.B. No. 15- CIDCO Colony- Plot No. 98- Sector 3-  Airoli- Navi Mumbai,principaldmce@yahoo.com,Thane,www.dmce.ac.in,Dr. S. D. Sawarkar,27791662,,na,Un-Aided,Non-Autonomous,Non-Minority,1988,Engineering,No
3188,Padmabhushan Vasantdada Patil Pratishthans College of Engineering- Sion-Mumbai,Padmabhushan Vasantdada Patil Education Complex- Eastern Express Highway- Near Everard Nagar-  Sion-Chunabhatti Mumbai,principal@pvppcoe.ac.in,Mumbai City,www.pvppcoe.ac.in,Dr. Alam N. Shaikh,24070547,,Mr. Shailesh A. Mokashi,Un-Aided,Non-Autonomous,Non-Minority,1990,Engineering,No
3189,Bharati Vidyapeeth College of Engineering-  Navi Mumbai,Sector - 7-CBD- Belpur- Navi Mumbai 400614,principal.bvcoenm@bharatividyapeeth.edu,Thane,www.bvcoenm.edu.in,Dr.Sandhya D. Jadhav,27572140,27571074,Mr. Santosh Shahaji Pawar,Un-Aided,Non-Autonomous,Non-Minority,1990,Engineering,No
3190,Terna Engineering College- Nerul- Navi Mumbai,Plot No. 12- Sector-22-Opp. Nerul Railway Station-Phase-II- Nerul (W)-Navi Mumbai,principal@terna.org,Thane,www.ternaengg.ac.in,Dr. LAKSHMAPPA RAGHA,61115444,61115401,Kavita S.Kadam,Un-Aided,Non-Autonomous,Non-Minority,1991,Engineering,No
3191,Mandar Education Society's Rajaram Shinde College of Engineering- Pedhambe,At Pedhambe- Po. Alore- Tal : Chiplun- Dist. Ratnagiri,rscoedegree@gmail.com,Ratnagiri,www.mandaredusoc.org,DR. ANEESH GANGAL,230005,230005,D K Gaikwad,Un-Aided,Non-Autonomous,Non-Minority,1993,Engineering,No
3192,Smt. Indira Gandhi College of Engineering- Navi Mumbai,Plot No.1- Sector No. 08- Ghansoli - Navi Mumbai 400 701,contactus@sigce.edu.in,Thane,www.sigce.edu.in,Dr. Sunil S. Chavan,27543608,8080949300,Chandrakant Jadhav,Un-Aided,Non-Autonomous,Non-Minority,1993,Engineering,No
3193,Shivajirao S. Jondhale College of Engineering- Dombivali-Mumbai,Sheel Kalyan Highway- Behind Venkatesh Petrolpump- Sonarpada- Manpada Post- Dombivali (E) Thane,officessjcoe@gmail.com,Thane,www.shivajiraojondhalecoe.org.in,Dr. Bakal Jagdish Wasudeorao,2872560,2023973, Mr. Shejul F. C.,Un-Aided,Non-Autonomous,Non-Minority,1994,Engineering,No
3194,Vidyavardhini's College of Engineering and Technology- Vasai,Vasai Road (W Rly)- Tal: Vasai- District Palghar,vcet_inbox@vcet.edu.in,Palghar,www.vcet.edu.in,DR HARISH V. VANKUDRE,2338234,2338234,Mr. Vishal K. Save,Un-Aided,Non-Autonomous,Non-Minority,1994,Engineering,No
3196,Lokmanya Tilak College of Engineering- Kopar Khairane- Navi Mumbai,Sector - 4- Plot N0 17 & 18- Vikas Nagar- Koparkhairane- Navi Mumbai,principal.ltce@gmail.com,Thane,www.ltce.in,Dr. Vivek K. Sunnapawr,27541005,,Pradeep D. Nangare Patil,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi,1994,Engineering,No
3197,Agnel Charities' FR. C. Rodrigues Institute of Technology- Vashi- Navi Mumbai,Sector 9-A-  Vashi- Navi Mumbai-,principalfcrit@gmail.com,Thane,www.fcrit.ac.in,Dr. S.M.KHOT,227771000,27771000,Neena Biju Nair,Un-Aided,Non-Autonomous,Religious Minority - Christian,1994,Engineering,No
3198,Konkan Gyanpeeth College of Engineering- Karjat,Vengaon Road- Dahivali- Karjat,principal@kgce.edu.in,Raigad,www.kgce.edu.in,Dr.Madhukar J.Lengare,222580,222580,A,Un-Aided,Non-Autonomous,Non-Minority,1994,Engineering,No
3199,Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering- Vile Parle-Mumbai,Plot No. U-15- J.V.P.D. Scheme- Bhaktivedanta Swami Marg- Vile Parle (West)- Mumbai,info@djsce.ac.in,Mumbai Suburban,www.djsce.ac.in,Dr. Hari Vasudevan,26123892,26123892,Mrs. Shreeya Hadkar,Un-Aided,Non-Autonomous,Linguistic Minority - Gujarathi,1994,Engineering,No
3200,Hope Foundation and research center's  Finolex Academy of Management and Technology- Ratnagiri,P- 60- P-60/1- MIDC- Mirjole Block- Ratnagiri,admin@famt.ac.in,Ratnagiri,www.famt.ac.in,DR. KAUSHAL PRASAD,229657,229569,Gajanan D Targaonkar,Un-Aided,Non-Autonomous,Non-Minority,1996,Engineering,Yes
3201,Rizvi Education Society's Rizvi College of Engineering- Bandra-Mumbai,Rizvi Educational Complex- Off Carter Road- Sherly Rajan Village- Bandra (W)- Mumbai,info@eng.rizvi.edu.in,Mumbai Suburban,www.eng.rizvi.edu.in,Dr. Varsha Shah,26043866,,Mr.Vaquar Shaikh,Un-Aided,Non-Autonomous,Religious Minority - Muslim,1998,Engineering,No
3202,Rajendra Mane College of Engineering & Technology  Ambav Deorukh,At - Ambav (Devrukh).Tal Sangameshwar-Dist.- Ratnagiri,info@rmcet.com,Ratnagiri,www.rmcet.com,Dr. M. M. Bhagwat,269400,269609,Padmanabh Shelar,Un-Aided,Non-Autonomous,Non-Minority,1998,Engineering,No
3203,Atharva College of Engineering-Malad(West)-Mumbai,S. No. 263- Plot No. 8-12- Malad-Marve Rd- Charkop Naka- Malad(W)- Mumbai,ace@atharvaeducation.com,Mumbai Suburban,www.atharvaeducation.com,Dr. SHRIKANT KALLURKAR,40294949,40294907,ANANDA  KANGANE,Un-Aided,Non-Autonomous,Non-Minority,1999,Engineering,No
3204,St. Francis Institute of Technology-Borivali- Mumbai,Mount Poinsur- S.V.P. Road- Borivali ( W )- Mumbai,sfedu@sfit.ac.in,Mumbai Suburban,www.sfit.ac.in,Dr.Sincy George,28928585,,-,Un-Aided,Non-Autonomous,Religious Minority - Christian,1999,Engineering,No
3205,Bharati Vidyapeeth College of Pharmacy- Belapur- Navi Mumbai,Sector 8- C.B.D- Belapur- Dist Thane,bharaticop@rediffmail.com,Thane,www.bvcop.in,Dr. Vilasrao J. Kadam,27571122,27574515,Patankar G. L.,Un-Aided,Non-Autonomous,Non-Minority,1993,Pharmacy,No
3206,S.S.P.M.'s College of Engineering- Kankavli,A/P-Harkul Budruk- Tal- Kankavali. Dist-Sindhudurg,sspmcoe@gmail.com,Sindhudurg,www.sspmcoe.ac.in,Dr. Aneesh C. Gangal,233812,,Shri Sagar Suresh Saikar,Un-Aided,Non-Autonomous,Non-Minority,1999,Engineering,No
3207,Mahatma Education Society's Pillai College of Engineering- New Panvel,Dr. K.M.Vasudevan Pillais' Campus Plot No. 10- Sector 16- New Panvel- Dist.Raigad,principalpce@mes.ac.in,Raigad,www.pce.ac.in,Dr. Sandeep M. Joshi,27456100,27451700,P. Kumaran,Un-Aided,Non-Autonomous,Linguistic Minority - Malyalam,2000,Engineering,No
3208,Don Bosco Institute of Technology- Mumbai,Premier Automobiles Road-Opp. Fiat Company- Kurla (West)- Mumbai,dbit@dbit.in,Mumbai Suburban,www.dbit.in,Dr. Prasanna Nambiar,25042018,25040508,Mr. Rajendra Tatkare,Un-Aided,Non-Autonomous,Religious Minority - Roman Catholics,2001,Engineering,No
3209,K J Somaiya Institute of Engineering and Information Technology- Sion- Mumbai,Somaiya Auryvihar Complex-  Near Everard Nagar Eastern Express Highway- Sion (East)- Mumbai,principal.tech@somaiya.edu,Mumbai Suburban,www.somaiya.edu/vidyavihar/kjsieit,Dr. Suresh K. Ukarande,24080331,24061401,Ankush Gaikwad,Un-Aided,Non-Autonomous,Linguistic Minority - Gujarathi,2001,Engineering,No
3210,Excelsior Education Society's K.C. College of Engineering and Management Studies and Research- Kopri- Thane (E),Mith bunder Road- Near Sadguru Gardens- Kopri- Thane (E),kcce21@hotmail.com,Thane,www.kccoe.org,Dr. VILAS N. NITNAWARE,25327100,,Mahesh Suresh Dalvi,Un-Aided,Non-Autonomous,Linguistic Minority - Punjabi,2001,Engineering,Yes
3211,S.I.E.S. Graduate School of Technology- Nerul- Navi Mumbai,Sri. Chandrsekarendra Saraswathy Vidyapuram- Sector-5- Plot 1C&1E- Nerul Dist. Raigad,principalgst@sies.edu.in,Raigad,www.siesgst.edu.in,Dr. Atul Kemkar,61082400,61082404,V.Vijayalakshmi,Un-Aided,Non-Autonomous,Linguistic Minority - Tamil,2002,Engineering,No
3212,WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY- ULHASNAGAR,Plot No.157-C.H.M.Campus-Opp.Ullhasnagar Rilway Station-Ulhasnagar-421003(W),principal@watumull.edu,Mumbai City,www.watumull.edu,DR.SUNITA SHARMA,2567670,,Mr.Avinash Gondal,Un-Aided,Non-Autonomous,Linguistic Minority - Sindhi,2002,Engineering,No
3214,Xavier Institute Of Engineering C/O  Xavier Technical Institute-Mahim-Mumbai,Opposite S.L.Raheja Hospital- Mahim Causeway- Mahim(W)-   Mumbai,office@xavierengg.com,Mumbai City,www.xavierengg.com,Dr. Y. D. Venkatesh,24451961,,Ereena G. Rodrigues,Un-Aided,Non-Autonomous,Religious Minority - Christian,2005,Engineering,No
3215,Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology - Andheri- Mumbai,Bhavan's Campus- Versova Road- Munshi Nagar- Andheri (West)- Mumbai,principal@spit.ac.in,Mumbai Suburban,www.spit.ac.in,Dr. B N Chaudhari,26287250,,Mrs. Pallavi More,Un-Aided,Autonomous,Non-Minority,1995,Engineering,No
3216,Gharda Foundation's Gharda Institute of Technology-Khed- Ratnagiri,A & Po. Lavel Tal Khed-  Dist. Ratnagiri,principal@git-india.edu.in,Ratnagiri,www.git-india.edu.in,Dr. Pramod Shriniwas Joshi,262798,,Mr. Mangesh S. Gadre,Un-Aided,Non-Autonomous,Non-Minority,2007,Engineering,No
3217,Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology- Shahapur- Asangaon- Dist Thane,At Asangaon- Tal Shahapur- Opp Railway station- Dist : Thane,vjtsscoe@rediffmail.com,Thane,www.jondhleengg.org,Dr. GEETHA K. JAYARAJ,273999,273999,KISHOR JONDHALE,Un-Aided,Non-Autonomous,Non-Minority,2007,Engineering,No
3218,Aldel Education Trust's St. John College of Engineering & Management- Vevoor- Palghar,St. John Technical Education Complex- Village Vevoor-Manor Road  Palghar (E),office@sjcem.edu.in,Palghar,www.sjcet.co.in,Dr. G.V. Mulgund,297275,0,MR. SATISH KUMAR TIWARI,Un-Aided,Non-Autonomous,Religious Minority - Christian,2008,Engineering,No
3219,Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of Engineering and Technology-  Sapgaon- Tal. Shahapur,Sapgaon- Taluka Shahapur  Dist. Thane,lsb@armiet.com,Thane,www.armiet.com,Dr. LAVENDRA S BOTHRA,40244310,40244310,Ankit Suresh Sanghavi,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi,2008,Engineering,No
3220,Saraswati Education Society- Yadavrao Tasgaonkar College of Engineering and Management- Nasarapur- Chandai- Karjat,Chandhai- Neral - Kadav Raod- Post Nasrapur- Taluka Karjat- Dist. Raigad,sesytcem@gmail.com,Raigad,www.tasgaonkartech.com,Prof. Raju Sairise,321524,321524,vivek dadu sawant,Un-Aided,Non-Autonomous,Non-Minority,2008,Engineering,No
3221,Late Shri. Vishnu Waman Thakur Charitable Trust- Viva Institute of Technology- Shirgaon,Shirgaon- At. Post Virar- Tal. Vasai. Thane,principalvit@vivacollege.org,Palghar,www.viva-technology.org,Dr. Arun Kumar,7770002544,7770002544,Mr. Mahendra D. Kajare,Un-Aided,Non-Autonomous,Non-Minority,2009,Engineering,No
3222,Haji Jamaluddin Thim Trust's Theem College of Engineering- At. Villege Betegaon- Boisar,At Village Betegaon-Boisar Chillhar Road - Near Union Park-  Boisar(E)- Tal: Palghar-,info@theemcoe.org,Palghar,www.theemcoe.org,Dr. Aqueel Ahmed Shah,284909,284926,SHEETAL PATIL,Un-Aided,Non-Autonomous,Religious Minority - Muslim,2009,Engineering,No
3223,Mahatma Education Society's Pillai HOC College of Engineering & Technology- Tal. Khalapur. Dist. Raigad,Pillai HOCL Educational Campus- Rasayani- Tal. Khalapur. Dist. Raisad-,pragneshshah@mes.ac.in,Raigad,www.mes.ac.in,Dr. Madhumita Chatterjee,252005,250066,Mr.Shirish Mayekar,Un-Aided,Non-Autonomous,Linguistic Minority - Malyalam,2009,Engineering,No
3224,Leela Education Society- G.V. Acharya Institute of Engineering and Technology- Shelu- Karjat,Shelu/Damat Village- (Opp. Shelu Rly Station)- Tal. Karjat. Dist. Raigad,principalgvaiet@yahoo.com,Raigad,www.leelaeducationsociety.org,Dr. Rajendra Prasad,229628,229628,Swapnil Bafana,Un-Aided,Non-Autonomous,Non-Minority,2009,Engineering,No
3225,Saraswathi Vidya Bhavan's College of Pharmacy- Dombivli,Shankaranagar- Shilpada Road- Dombivali (E)- Dist : Thane,svbpharma@rediffmail.com,Thane,www.svbpharmacy.org,Dr.Monita P. Gide  M.Pharm Ph.D.,6515160,6515161,Dhammadeep Lohbande,Un-Aided,Non-Autonomous,Linguistic Minority - Tamil,1993,Pharmacy,No
3226,Mumbai Educational  Trust's Institute of Pharmacy- Mumbai,General Arunkumar Vaidya Chowk- Bandra Reclamation- Bandra (W) Mumbai,degree_iop@met.edu,Mumbai Suburban,www.met.edu,Dr.(Mrs.)Abha Doshi,39554230,39554226,Mrs.Manasi Vaidya,Un-Aided,Non-Autonomous,Non-Minority,1994,Pharmacy,No
3228,SVKM's Dr. Bhanuben Nanavati College of Pharmacy- Mumbai,Gate No.1- Mithibai College Campus- 1st Floor- V.M. Road- Vile parle (West)- Mumbai,registrar@bncp.ac.in,Mumbai Suburban,www.bncp.ac.in,Dr. Munira Momin,42332052,42332052,Reshma Sidhwani,Un-Aided,Non-Autonomous,Linguistic Minority - Gujarathi,2004,Pharmacy,No
3229,Dr. L. H. Hiranandani College of Pharmacy -Ulhasnagar,C.H.M. College Campus- Opp. Ulhasnagar Railway Station Ulhasnagar Dist : Thane,dlhhcop@hsncb.com,Thane,www.hsncbscop.com,Dr. Parag S. Gide,2733963,,Dr. L. H. Hiranandnai College of Pharmacy ,Un-Aided,Non-Autonomous,Linguistic Minority - Sindhi,2004,Pharmacy,No
3230,NCRD's Sterling Institute of Pharmacy- Navi Mumbai,Plot 93 sector 19 Nerul(E)- Navi Mumbai,ncrdsipoffice@gmail.com,Thane,www.ncrdsip.org,Dr. M.S.Gadge,27715308,9819939298,Dr. Suvarna Phadtare,Un-Aided,Non-Autonomous,Non-Minority,2004,Pharmacy,No
3231,Oriental College of Pharmacy - Navi Mumbai,Plot No. 2-3 & 4 - Sector 2- Sanpada- Navi Mumbai  Dist. Raigad,admin.ocp@oes.ac.in,Raigad,www.oes.ac.in,Dr.(Mrs.) Sudha Rathod,27753117,27758215,surekha gaikwad,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi,2004,Pharmacy,No
3232,Yadavrao Tasgaonkar Institute of Pharmacy-Chandhai- Bhiv-puri Road Station- Tal-Karjat,Dr.N.Y.Tasgaonkar Education Complex- Village Chandhai-Near Bhivpuri Road Rly station-Tal-Karjat-(on Mumbai-Pune Rly Rout) Dist. Raigad,nanduyt@hotmail.com,Raigad,www.tasgaonkartech.com,Dr. Rupali R.Tasgaonkar,7350833666,7350833666,Mr. Satywan Sawant ,Un-Aided,Non-Autonomous,Non-Minority,2005,Pharmacy,No
3233,Govindrao Nikam College Of Pharmacy- Sawarde,Sawarde (Wahalphata) Tal. Chiplun Dist. Ratnagiri ,sssdgpharmacy@rdiffmail.com,Ratnagiri,sawardepharmacy.com,Dr. BATTASE ANIL PURSHOTTAM,264163,264163,WAGHCHOURE PRAVIN S,Un-Aided,Non-Autonomous,Non-Minority,2005,Pharmacy,No
3234,Maharashtra Education Society's H.K. College of Pharmacy- Jogeshwari- Mumbai,Prateeksha Nagar- New MHADA Colony- transit camp- Jogeshwari- Mumbai,anubha.khale@hkcp.edu.in,Mumbai Suburban,www.hkcp.edu.in,DR. ANUBHA R. KHALE,26788462,26774639,MR. AYUB CHOUGULE,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi,2006,Pharmacy,No
3235,Gahlot Institute of Pharmacy- Koparkhairane- Navi Mumbai,Plot No 59 - Sector  14-  Koparkhairane-Navi Mumbai,gahlot_pharma@rediffmail.com,Thane,www.gip.edu.in,Dr. V.H.Bhaskar,27550816,27550819,Mrs.Chhaya Waghmare,Un-Aided,Non-Autonomous,Non-Minority,2006,Pharmacy,No
3236,Konkan Gyanpeeth Rahul Dharkar College of Pharmacy & Research Institute- Karjat- Dahivali- Karjat  Dist. Raigad,Vengaon Road- Dahivali- Karjat- Dist. Raigad,p.kgrdcp@gmail.com,Raigad,www.kgrdcp.com,Dr.Mohan K.Kale,220312,,SHIVRAM S. PATIL,Un-Aided,Non-Autonomous,Non-Minority,2006,Pharmacy,Yes
3237,Vivekanand Education Society's College of Pharmacy- Chembur- Mumbai,Hashu Advani Memo Complex- Behind Collector Colony- Wadhawali Village- Chembur Mumbai,vespharm@yahoo.co.in,Mumbai Suburban,www.ves.ac.in/pharmacy,Dr. Supriya Shidhaye,61144144,25241533,MILIND GHADI,Un-Aided,Non-Autonomous,Linguistic Minority - Sindhi,2007,Pharmacy,No
3238,Adarsh Shikshan Prasarak Mandal's Ideal College of Pharmacy & Research- Ambernath,Bhalgaon At/Post - Dwarli- Haji Malang Road- Kalyan Rly. Station  Dist- Thane,principal_icpr@idealcollege.in,Thane,www.idealcollege.in,Dr. Smita Takarkhede,7718838222,8779515266,Mr. Sanjay Tiwari,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi,2008,Pharmacy,Yes
3239,Prabhodhan Shikshan Prasarak Sanshta's Indira Institute of Pharmacy- Sadavali,A/P Sadavali (Devrukh) Taluka: Sangmeshwar- Dist. Ratnagiri,info@iip.ind.in,Ratnagiri,www.iip.ind.in,Dr. B. C. Hatapakki,261799,261499,MAYURESH BHOPALKAR,Un-Aided,Non-Autonomous,Non-Minority,2008,Pharmacy,No
3240,Aldel Education Trust's St. John Institute of Pharmacy and Research- Vevoor- Palghar,St. John Technical Education Complex- Village Vevoor-Manor Road- Palghar (E)-,office@sjipr.edu.in,Palghar,www.sjipr.in,Dr. (Mrs.) Savita Josephine Tauro,256792,256792,MR. SATISH KUMAR TIWARI,Un-Aided,Non-Autonomous,Religious Minority - Christian,2008,Pharmacy,Yes
